Ticker,Return [%],WinRate [%],MaxDD [%],Trades
ANNA,0.0,0.0,-0.0,0
ANNAW,0.0,0.0,0.0,0
ANNX,0.0,0.0,-0.0,0
ANPA,0.0,0.0,0.0,0
ANRO,0.0,0.0,-0.0,0
ANSC,0.0,0.0,-0.0,0
ANSCU,0.0,0.0,-0.0,0
ANSCW,0.0,0.0,0.0,0
ANSS,0.0,0.0,-0.0,0
ANTA,0.0,0.0,0.0,0
ANTE,0.0,0.0,-0.0,0
ANTX,0.0,0.0,-0.0,0
ANVS,0.0,0.0,-0.0,0
ANY,0.0,0.0,-0.0,0
AOD,0.0,0.0,-0.0,0
AOHY,0.0,0.0,-0.0,0
AOMD,0.0,0.0,0.0,0
AOMN,0.0,0.0,0.0,0
AOMR,0.0,0.0,-0.0,0
AON,0.0,0.0,-0.0,0
AORT,0.0,0.0,-0.0,0
AOS,0.0,0.0,-0.0,0
AOSL,0.0,0.0,-0.0,0
AOTG,0.0,0.0,-0.0,0
AOUT,0.0,0.0,-0.0,0
AP,0.0,0.0,-0.0,0
APA,0.0,0.0,-0.0,0
APAM,0.0,0.0,-0.0,0
APD,0.0,0.0,-0.0,0
APDN,0.0,0.0,-0.0,0
APED,0.0,0.0,0.0,0
APEI,0.0,0.0,-0.0,0
APG,0.0,0.0,-0.0,0
APGE,0.0,0.0,-0.0,0
APH,0.0,0.0,-0.0,0
API,0.0,0.0,-0.0,0
APLD,0.0,0.0,-0.0,0
APLE,0.0,0.0,-0.0,0
APLM,0.0,0.0,-0.0,0
APLMW,0.0,0.0,-0.0,0
APLS,0.0,0.0,-0.0,0
APLT,0.0,0.0,-0.0,0
APM,0.0,0.0,-0.0,0
APO,0.0,0.0,-0.0,0
APO$A,0.0,0.0,0.0,0
APOG,0.0,0.0,-0.0,0
APOS,0.0,0.0,-0.0,0
APP,0.0,0.0,-0.0,0
APPF,0.0,0.0,-0.0,0
APPN,0.0,0.0,-0.0,0
APPS,0.0,0.0,-0.0,0
APPX,0.0,0.0,0.0,0
